tensor(23.5914, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.0143, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.4249, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.2124, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.2297, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.6596, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.4941, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.3312, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.9648, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.7061, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.7125, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.8950, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.4199, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.5361, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.9892, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.6436, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.9446, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.9387, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.4237, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.4712, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.1304, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.9268, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.0991, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.6091, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.8386, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.2502, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.4409, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.4711, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.8224, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.2132, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.6024, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.4164, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.3114, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.6219, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.8465, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.4712, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.6589, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.0121, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.2144, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.5084, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.6842, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.3498, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.7892, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.0251, device='cuda:0', grad_fn=<MulBackward0>)
tensor(37.8676, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.9928, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.4117, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.8208, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.9925, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.0618, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.0987, device='cuda:0', grad_fn=<MulBackward0>)
tensor(39.5912, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.6805, device='cuda:0', grad_fn=<MulBackward0>)
tensor(33.0344, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.6413, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.6851, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.0664, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.2000, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.2184, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.7044, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.2890, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.6374, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.7445, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.3349, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.0877, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.2122, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.6705, device='cuda:0', grad_fn=<MulBackward0>)
tensor(30.4463, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.1774, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.3122, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.2512, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.5455, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.3161, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.3979, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.6667, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.4675, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.7079, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.9870, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.5234, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.9816, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.0865, device='cuda:0', grad_fn=<MulBackward0>)
